Территория преимущественного использования ТС	Категория «A», «М»	Категория «B», «BE» юр. лиц	Категория «B», «BE» физ. лиц, индивид. Предприним.	Категория «B», «BE» Такси	Категория «C», «CE» менее 16 тонн (включит.)	Категория «C», «CE» более 16 тонн	Категория «D», «DE» до 16 мест (включит.)	Категория «D», «DE» более 16 мест	Категория «D», «DE» Маршрутка	Троллейбусы	Трамваи	Тракторы, самоходные дорожностроительные и иные машины
Незинномысск	1407	2058	4942	7399	5053	7609	4044	5053	7399	4044	2521	899
Пятигорск	1407	2058	4942	7399	5053	7609	4044	5053	7399	4044	2521	899
Кисловодск	1407	2058	4503	7399	5053	7609	4044	5053	7399	4044	2521	899
Михайловск	1407	2058	4503	7399	5053	7609	4044	5053	7399	4044	2521	899
Ставрополь	1407	2058	4503	7399	5053	7609	4044	5053	7399	4044	2521	899
Прочие города и населенные пункты	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Хабаровский край												
Амурск	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Комсомольск-на-Амуре	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Хабаровск	1407	2058	4300	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Амурская область												
Белогорск	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Свободный	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Благовещенск	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Архангельская область												
Архангельск	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Котлас	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Северодвинск	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Астраханская область												
Астрахань	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Белгородская область												
Белгород	1407	2058	4942	7399	5053	7609	4044	5053	7399	4044	2521	899
Губкин	1407	2058	4400	7399	5053	7609	4044	5053	7399	4044	2521	899
