Территория преимущественного использования ТС	Категория «A», «М»	Категория «B», «BE» юр. лиц	Категория «B», «BE» физ. лиц, индивид. Предприним.	Категория «B», «BE» Такси	Категория «C», «CE» менее 16 тонн (включит.)	Категория «C», «CE» более 16 тонн	Категория «D», «DE» до 16 мест (включит.)	Категория «D», «DE» более 16 мест	Категория «D», «DE» Маршрутка	Троллейбусы	Трамваи	Тракторы, самоходные дорожностроительные и иные машины
Лысьва, Чайковский	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Пермь	694	2058	3834	7399	2807	4227	2246	2807	7399	4044	2521	899
Соликамск	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4736	7399	2807	4227	2246	2807	7399	4044	2521	899
Приморский край												
Арсеньев, Артем, Находка, Спасск- Дальний, Уссурийск	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Владивосток	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Ставропольский край												
Буденновск, Георгиевск, Ессентуки, Минеральные воды, Невинномысск, Пятигорск	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Кисловодск, Михайловск, Ставрополь	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Хабаровский край												
Амурск	694	2058	4516	7399	2807	4227	2246	2807	7399	4044	2521	899
Комсомольск-на-Амуре	694	2058	4255	7399	2807	4227	2246	2807	7399	4044	2521	899
Хабаровск	694	2058	4274	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4833	7399	2807	4227	2246	2807	7399	4044	2521	899
Амурская область												
Белогорск, Свободный	694	2058	4310	7399	2807	4227	2246	2807	7399	4044	2521	899
Благовещенск	694	2058	4793	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4793	7399	2807	4227	2246	2807	7399	4044	2521	899
Архангельская область												
Архангельск	694	2058	3900	7399	2807	4227	2246	2807	7399	4044	2521	899
Котлас	694	2058	3885	7399	2807	4227	2246	2807	7399	4044	2521	899
Северодвинск	694	2058	3900	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4385	7399	2807	4227	2246	2807	7399	4044	2521	899
Астраханская область												
Астрахань	694	2058	4408	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4427	7399	2807	4227	2246	2807	7399	4044	2521	899
Белгородская область												
Белгород	694	2058	4326	7399	2807	4227	2246	2807	7399	4044	2521	899
Губкин, Старый Оскол	694	2058	4736	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4349	7399	2807	4227	2246	2807	7399	4044	2521	899
Брянская область												
Брянск	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Клинцы	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4736	7399	2807	4227	2246	2807	7399	4044	2521	899
Владимирская область												
Владимир	694	2058	4736	7399	2807	4227	2246	2807	7399	4044	2521	899
Гусь-Хрустальный	694	2058	4408	7399	2807	4227	2246	2807	7399	4044	2521	899
Муром	694	2058	4736	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4736	7399	2807	4227	2246	2807	7399	4044	2521	899
Волгоградская область												
Волгоград	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Волжский	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Камышин, Михайловка	694	2058	4500	7399	2807	4227	2246	2807	7399	4044	2521	1579
Прочие города и населенные пункты	694	2573	4673	7399	2807	4227	2246	2807	7399	4044	2521	1579
Вологодская область												
Вологда	694	2058	4080	7399	2807	4227	2246	2807	7399	4044	2521	899
Череповец	694	2058	4080	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	3967	7399	2807	4227	2246	2807	7399	4044	2521	899
Воронежская область												
