Регион	Населённый пункт	Категория «А», «М»	Категория «B», «BE» юр. лиц	Категория «B», «BE» физ. лиц, индивид. Предприним.	Категория «B», «BE» Такси	Категория «C», «CE» менее 16 тонн (включит.)	Категория «C», «CE» более 16 тонн	Категория «D», «DE» до 16 мест (включит.)	Категория «D», «DE» более 16 мест	Категория «D», «DE» маршрутка	Троллейбусы	Трамваи	Тракторы, самоходные дорожностроительные и иные машины
Камчатский край	прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Краснодарский край	Анапа	1407	2058	3706	7399	5053	7609	4044	5053	7399	4044	2521	1895
Краснодарский край	Курганинск	1407	2058	4300	7399	5053	7609	4044	5053	7399	4044	2521	1895
Краснодарский край	Лабинск	1407	2058	4300	7399	5053	7609	4044	5053	7399	4044	2521	1895
Краснодарский край	Славянск-на-Кубани	1407	2058	4300	7399	5053	7609	4044	5053	7399	4044	2521	1895
Краснодарский край	Тимашевск	1407	2058	4300	7399	5053	7609	4044	5053	7399	4044	2521	1895
Краснодарский край	Тихорецк	1407	2058	4300	7399	5053	7609	4044	5053	7399	4044	2521	1895
Краснодарский край	Краснодар	1407	2058	4300	7399	5053	7609	4044	5053	7399	4044	2521	1895
Краснодарский край	Новороссийск	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Краснодарский край	прочие города и населенные пункты	1407	2058	4300	7399	5053	7609	4044	5053	7399	4044	2521	1895
Краснодарский край	Геленджик	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Краснодарский край	Армавир	1407	2058	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Краснодарский край	Сочи	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Краснодарский край	Туапсе	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Краснодарский край	Белореченск	1407	2058	4300	7399	5053	7609	4044	5053	7399	4044	2521	1895
Краснодарский край	Ейск	1407	2058	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Краснодарский край	Кропоткин	1407	2058	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Краснодарский край	Крымск	1407	2058	4300	7399	5053	7609	4044	5053	7399	4044	2521	1895
Красноярский край	Ачинск	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Красноярский край	прочие города и населенные пункты	1407	2058	3832	7399	2807	4227	2246	2807	7399	4044	2521	899
Красноярский край	Зеленогорск (Красноярский край)	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Красноярский край	Железногорск (Красноярский край)	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Красноярский край	Норильск	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
