Субъект РФ	Населенный пункт	Мотоциклы, мопеды и легкие квадрициклы (транспортные средства категории «A», «М») 	Транспортные средства категории «B», «BE» юридических лиц 	Транспортные средства категории «B», «BE» физических лиц, индивидуальных предпринимателей 	Транспортные средства категории «B», «BE» используемые в качестве такси 	Транспортные средства категорий «C» и «CE» с разрешенной максимальной массой 16 тонн и менее 	Транспортные средства категорий «C» и «CE» с разрешенной максимальной массой более 16 тонн 	Транспортные средства категорий «D» и «DE» с числом пассажирских мест до 16 включительно 	Транспортные средства категорий «D» и «DE» с числом пассажирских мест более 16 	Транспортные средства категорий «D» и «DE» используемые на регулярных перевозках с посадкой и высадкой пассажиров как в установленных остановочных пунктах по маршруту регулярных перевозок, так и в любом не запрещенном правилами дорожного движения месте по маршруту регулярных перевозок 	Троллейбусы (транспортные средства категории «Tb») 	Трамваи (транспортные средства категории «Tm»)	Тракторы, самоходные дорожно-строительные и иные машины*, за исключением транспортных средств, не имеющих колесных движителей 
Кемеровская область	Анжеро-Судженск	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Киселевск	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
	Юрга	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
	Белово	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
	Березовский 	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
	Междуреченск	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
	Осинники	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прокопьевск	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
	Кемерово	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Новокузнецк	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
Кировская область	Киров	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Кирово-Чепецк	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
Костромская область	Кострома	694	2058	3515	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	3789	7399	2807	4227	2246	2807	7399	4044	2521	899
Курганская область	Курган	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Шадринск	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	4559	7399	2807	4227	2246	2807	7399	4044	2521	899
Курская область	Железногорск	694	2058	3686	7399	2807	4227	2246	2807	7399	4044	2521	899
	Курск	694	2058	3934	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	3934	7399	2807	4227	2246	2807	7399	4044	2521	899
Ленинградская область	Все города и населенные пункты	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Липецкая область	Елец	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Липецк	694	2058	4268	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	4395	7399	2807	4227	2246	2807	7399	4044	2521	899
Магаданская область	Магадан	694	2058	3977	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
Московская область	Все города и населенные пункты	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
Мурманская область	Апатиты	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
	Мончегорск	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
	Мурманск	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
	Североморск	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Нижегородская область	Арзамас	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Выкса	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
	Саров	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
	Балахна	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
	Бор 	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
	Дзержинск	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
	Кстово	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Нижний Новгород	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
Новгородская область	Боровичи	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
	Великий Новгород	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Новосибирская область	Бердск	694	2058	4550	7399	2807	4227	2246	2807	7399	4044	2521	899
	Искитим	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
	Куйбышев	694	2058	4700	7399	2807	4227	2246	2807	7399	4044	2521	899
	Новосибирск	694	2058	4559	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	4594	7399	2807	4227	2246	2807	7399	4044	2521	899
Омская область	Омск	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	4511	7399	2807	4227	2246	2807	7399	4044	2521	899
Оренбургская область	Бугуруслан	694	2058	4171	7399	2807	4227	2246	2807	7399	4044	2521	899
	Бузулук	694	2058	4171	7399	2807	4227	2246	2807	7399	4044	2521	899
	Новотроицк	694	2058	4171	7399	2807	4227	2246	2807	7399	4044	2521	899
	Оренбург	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Орск	694	2058	4171	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	4171	7399	2807	4227	2246	2807	7399	4044	2521	899
Орловская область	Ливны	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
	Мценск	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
	Орел	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
Пензенская область	Заречный	694	2058	3832	7399	2807	4227	2246	2807	7399	4044	2521	899
	Кузнецк	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
	Пенза	694	2058	3832	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	3783	7399	2807	4227	2246	2807	7399	4044	2521	899
Псковская область	Великие Луки	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
	Псков	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Ростовская область	Азов	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
	Батайск	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Волгодонск	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Гуково	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
	Каменск-Шахтинский	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
	Новочеркасск	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Новошахтинск	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
	Сальск	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
	Таганрог	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Ростов-на-Дону	694	2058	3871	7399	2807	4227	2246	2807	7399	4044	2521	899
	Шахты	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	4074	7399	2807	4227	2246	2807	7399	4044	2521	899
Рязанская область	Рязань	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	3783	7399	2807	4227	2246	2807	7399	4044	2521	899
Самарская область	Новокуйбышевск	694	2058	4123	7399	2807	4227	2246	2807	7399	4044	2521	899
	Сызрань	694	2058	4250	7399	2807	4227	2246	2807	7399	4044	2521	899
	Самара	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
	Тольятти	694	2058	4324	7399	2807	4227	2246	2807	7399	4044	2521	899
	Чапаевск	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
